STCODE,FORMAT,FAMILY,GENUS,SPECIES,SSP,VARIETY,AUTHOR,AUTHOR2,COMMON,SYNONYMS,HABITAT,ZONE,ABUNDANCE,ACRONYM
SA002,1,"CYPERACEAE","Scirpus","microcarpus","","","Presl","","Small-Fruited Bulrush","S. sylvaticus var. m., S. lenticularis, S. s. var. digynus, S. macounii, S. m. var. longispicatus","Wet ground; lowland to midmontane.","upper TSHE to ABAM",O,"SCMI"
SA002,1,"EQUISETACEAE","Equisetum","arvense","","","L.","","Common or Field Horsetail","E. saxicola","Generally open, moist to moderately dry places.","TSHE to ABAM",F,"EQAR"
SA002,1,"EQUISETACEAE","Equisetum","telmateia","","braunii","Ehrh.","Milde","Giant Horsetail","E. t. var. hillii","American variety of moist places, semi- to fully open.","TSHE to ABAM",F,"EQTE"
SA002,1,"ERICACEAE","Allotropa","virgata","","","T. & G.","","Candystick, Sugarstick","","Deep humus of coniferous forests at lower elevations.","TSHE",I,"ALVI"
SA002,1,"ERICACEAE","Arbutus","menziesii","","","Pursh","","Pacific Madrone","A. procera","Dry, usually open and often rocky areas.","TSHE",O,"ARME"
SA002,1,"ERICACEAE","Arctostaphylos","columbiana","","","Piper","","Bristly Manzanita","A. tomentosa","Open woods and rocky ridges; mostly at lower elevations.","mostly TSHE",O,"ARCO3"
SA002,1,"ERICACEAE","Arctostaphylos","nevadensis","","","Gray","","Pinemat Manzanita, Kinnikinnick","","Rocky, open mountain slopes.","TSHE to mid ABAM; TSME",F,"ARNE"
SA002,1,"ERICACEAE","Chimaphila","menziesii","","","(R. Br.) Spreng.","","Little Prince's Pine or Pepsissewa","Pyrola m.","Shady coniferous forests.","TSHE to ABAM; TSME",F,"CHME"
SA002,1,"ERICACEAE","Chimaphila","umbellata","","occidentalis","(L.) Bart.","(Rydb.) Blake","Prince's Pine, Common Pipsissewa","","Mostly under conifers.","TSHE to ABAM; TSME",F,"CHUM"
SA002,1,"ERICACEAE","Gaultheria","ovatifolia","","","Gray","","Slender or Oregon Wintergreen","","Dryish woods to moist subalpine slopes.","lower ABAM to TSME",O,"GAOV"
SA002,1,"ERICACEAE","Gaultheria","shallon","","","Pursh","","Salal, Oregon Wintergreen","","Moist to dry woods; lowland to lower mountains.","mainly TSHE",A,"GASH"
SA002,1,"ERICACEAE","Hemitomes","congestum","","","Gray","","Gnome Plant","Newberrya spicata, N. longiloba, H. spicatum","Deep humus in shady coniferous forests.","TSHE",R,"HECO"
SA002,1,"ERICACEAE","Hypopitys","monotropa","","","Grantz.","","Fringed Pinesap","Monotropa h., M. h., M. fimbriata, H. f., H. lutea, H. latisquama, M. l., H. brevis","In deep shady duff under conifers.","TSHE to lower ABAM",I,"HYMO"
SA002,1,"ERICACEAE","Monotropa","uniflora","","","L.","","Indian Pipe","M. morisoniana","Deep shady woods; lower to middle elevations.","thru-out TSHE",I,"MOUN2"
SA002,1,"ERICACEAE","Pterospora","andromedea","","","Nutt.","","Woodland Pinedrops","","deep humus in coniferous forests.","TSHE to lower ABAM",I,"PTAN"
SA002,1,"ERICACEAE","Pyrola","aphylla","","","Smith","","Leafless Pyrola","","Moist shady coniferous forests.","TSHE to ABAM",I,"PYAP"
SA002,1,"ERICACEAE","Pyrola","asarifolia","","asarifolia","Michx.","","Alpine Pyrola, Common Pink or Liver-Leaf Wintergreen","P. californica, P. elate, P. bracteata, P. a. var. b., P. incarnata, P. a. var. i., P. uliginosa, P. a. var. u.","Moist ground in woodland and forest.","TSHE to ABAM; TSME",O,"PYAS"
SA002,1,"ERICACEAE","Pyrola","chlorantha","","","Sw.","","Green Wintergreen","P. virens, P. v. var. saximontana, P. c. var. s., P. chlorantha var. paricifolia.","Moist coniferous forests.","TSHE",I,"PYCH"
SA002,1,"ERICACEAE","Pyrola","dentata","","","Smith","","Toothleaf Pyrola","P. picta ssp. d., P. d. var. integra","Coniferous woods.","TSHE",I,"PYDE"
SA002,1,"ERICACEAE","Pyrola","picta","","","Smith","","White Vein Pyrola","P. conardiana, P. paradoxa, P. septentrionalis","Coniferous forests.","TSHE to ABAM",F,"PYPI"
SA002,1,"ERICACEAE","Pyrola","secunda","","secunda","L.","","One-Sided or Sidebells Pyrola","","Mostly in coniferous woods.","TSHE to ABAM; TSME",F,"PYSE"
SA002,1,"ERICACEAE","Rhododendron","macrophyllum","","","G. Don","","Pacific or Western Rhododendron, California Rose-Bay","R. californicum, R. m. f. album","Open slopes to shady forests; low to middle elevations.","mainly TSHE, but also ABAM & TSME",A,"RHMA"
SA002,1,"ERICACEAE","Vaccinium","alaskaense","","","Howell","","Alaska Blueberry","V. oblatum","Open places in the woods; lowland to montane.","upper TSHE to ABAM",O,"VAAL"
SA002,1,"ERICACEAE","Vaccinium","membranaceum","","","Dougl.","","Thin-Leaved Blueberry, Big Huckleberry, Tall Bilberry","V. macrophyllum","Montane slopes, semi open forest to meadow edges","upper TSHE to ABAM; TSME",F,"VAME"
SA002,1,"ERICACEAE","Vaccinium","ovalifolium","","","Smith","","Early Blueberry, Oval-Leaf Huckleberry","V. chamissonis","Moist places in woods and open slopes.","upper TSHE to ABAM; TSME",O,"VAOV"
SA002,1,"ERICACEAE","Vaccinium","parvifolium","","","Smith","","Red Bilberry, Blueberry or Huckleberry","","Dryish to moist woods, especially on logs and stumps.","mainly TSHE to lower ABAM",A,"VAPA"
SA002,1,"FAGACEAE","Castanopsis","chrysophylla","","","(Dougl.) DC.","","Golden or Giant Chinquapin","Castanea c.","Dry, open sites to an understorey tree in fairly thick woodland.","TSHE to lower ABAM",O,"CACH"
SA002,1,"FAGACEAE","Quercus","garryana","","","Dougl.","","Garry Oak, Oregon White Oak","Q. gilberti, Q. jacobi","Dry, sites, often edges of south-facing rocky outcrops. Lower elevations.","TSHE",O,"QUGA"
SA002,1,"FUMARIACEAE","Dicentra","formosa","","","(Andr.) Walp.","","Pacific Bleeding Heart","","Moist woods, lowlands to lower mountains.","TSHE to lower ABAM; TSME",F,"DIFO"
SA002,1,"FUMARIACEAE","Dicentra","uniflora","","","Kell.","","Steer's Head","","Well-drained, gravelly open slopes, foothills to subalpine slopes.","ABAM",I,"DIUN"
SA002,1,"GARRYACEAE","Garrya","fremontii","","","Torr.","","Fremont Silk-Tassel, Bear Brush","","Woodlands and clearcuts.","mid to upper TSHE",I,"GAFR"
SA002,1,"GERANIACEAE","Geranium","carolinianum","","","L.","","Carolina Geranium","G. thermale","Native weedy species of open to slightly shaded places at lower elevations.","TSHE",I,"GECA3"
SA002,1,"GERANIACEAE","Geranium","dissectum","","","L.","","Cut-Leaf Geranium","G. laxum","European species of moist meadows and waste places.","TSHE",I,"GEDI"
SA002,1,"GRAMINEAE","Agrostis","alba","","palustris","","(Huds.) Pers.","Creeping Bentgrass","A. exarata var. stolonifera, A. reptans, A. palustris, A. stolonifera var. p.","Probable European species of disturbed places.","TSHE to lower ABAM",I,"AGAL"
SA002,1,"GRAMINEAE","Agrostis","diegoensis","","","Vasey","","Thin or Leafy Bentgrass","A. foliosa, A. d. var. f., A. pallens var. vaseyi, A. canina var. stolonifera","Dry to moist slopes and meadows, lowlands to subalpine.","TSHE",I,"AGDI"
SA002,1,"GRAMINEAE","Agrostis","exarata","exarata","monolepsis","Trin.","(Torr.) Hitch.","Spike Bentgrass","Polypogon alopecuroides, A. ampla, A. inflata, A. ampla f. m.","Moist areas; lowland to midmontane.","ABAM; TSHE",I,"AGEX"
SA002,1,"GRAMINEAE","Agrostis","scabra","","","Willd.","","Winter Bentgrass, Rough Hair-grass, Tickle-grass","A. geminata, A. hiemalis var. g., A. hi(y)emalis, A. nootkaensis Vilfa scabra, A. scabriuscula","Moist to dry areas from lowland to subalpine.","generally ABAM",O,"AGSC"
SA002,1,"GRAMINEAE","Agrostis","tenuis","","","sibth.","","Colonial Bentgrass","A. alba var. sylvatica, A. vulgaris var. aristata, A. t. var. a., A. stricta","Introduced Eurasian species of lawns and disturbed places.","TSHE to lower ABAM",I,"AGTE"
SA002,1,"GRAMINEAE","Agrostis","thurberiana","","","Hitchc.","","Thurber Bentgrass","A. atrata","Alpine meadows and slopes to lake and stream margins, down to 1000 ft. elevations.","TSHE to ABAM; TSME",O,"AGTH"
SA002,1,"GRAMINEAE","Aira","caryophyllea","","","L.","","Silver Hairgrass","Avena c.","Moist to dry, gravelly soil, European species.","TSHE",I,"AICA"
SA002,1,"GRAMINEAE","Avena","sativa","","","L.","","Common Oat","A. fatua var. s.","Introduced European species of roadsides and other disturbed sites","TSHE",I,"AVSA"
SA002,1,"GRAMINEAE","Bromus","carinatus","","carinatus","H. & A.","","California Brome","C. grandiflora, C. breviaristata, B. hookerianus, B. marginatus, B. m. var. seminudus, B. m. var. latior, B. virens","Moist woods to dry open meadows, also on waste ground; mostly in the foothills or mountain","mostly ABAM; TSME",O,"BRCA"
SA002,1,"GRAMINEAE","Bromus","ciliatus","","","L.","","Fringed Brome","B. purgans var. longispicata, B. p. var. pallidus, B. richardsoni, B. inermis var. c.","Stream banks, wet to semi-dry rocky slopes; mostly lower elevation","TSHE to ABAM",O,"BRCI"
SA002,1,"GRAMINEAE","Bromus","orcuttianus","","","Vasey","","Orcutt Brome","B. brachyphyllus","Dry, open woods.","TSHE",I,"BROR"
SA002,1,"GRAMINEAE","Bromus","sterilis","","","L.","","Barren Brome","","Introduced European species of roadsides and waste places.","TSHE",I,"BRST"
SA002,1,"GRAMINEAE","Bromus","vulgaris","","vulgaris","(Hook.) Shear","","Columbia or Narrow-flowered Brome","B. ciliatus var. pauciflorus, B. eximius ssp. umbratocus, B. e. ssp. robustus, B. prugans var. v., B. ramosus","Shaded or open woods to moist or dry banks; rocky slopes up to about 6000 ft. elevation.","TSHE to ABAM",F,"BRVU"
SA002,1,"GRAMINEAE","Calamagrostis","canadensis","","canadensis","(Michx) Beauv.","","Blue-joint Reedgrass","Arundo c.","Open, wet places from near sea level to fairly high in the mountains.","TSHE to ABAM; TSME",O,"CACA"
SA002,1,"GRAMINEAE","Calamagrostis","inexpansa","","inexpansa","Gray","","Marsh or Northern Reedgrass","Deyeuxia americana, C. neglecta var. i.","Wet to rather dry meadows or stream-banks, and other moist areas in the foothills and Mountains.","mainly ABAM",I,"CAIN"
SA002,1,"GRAMINEAE","Dactylis","glomerata","","","L.","","Orchard Grass, Cock's-Foot Grass","","Introduced Eurasian species of waste places, roadsides and meadow","TSHE to lower ABAM",O,"DAGL"
SA002,1,"GRAMINEAE","Deschampsia","atropurpurea","","latifolia","(Hook.)","Scribn.","Mountain Hairgrass","Aira a., A. latifolia, D. l., misapplied, D. a. var. minor","Mountain meadows, streambanks, and lake margins to alpine ridges.","ABAM, TSME",O,"DEAT"
SA002,1,"GRAMINEAE","Deschampsia","caespitosa","","cespitosa","L. Beauv.","","Turfed Hairgrass","Aira alpicola, D. c. var. alpina, D. pungens, D. c. var. p.","Marshes and meadows to subalpine ridges and talus slopes.","ABAM",O,"DECA"
SA002,1,"GRAMINEAE","Deschampsia","elongata","","","(Hook.) Munro","","Slender Hairgrass","Aira e., D. e. var. ciliata, D. c., A. vaseyana","Sandy or gravelly, generally moist bankd and slopes or borders of streams or lakes, some times in woods; lowland to subalpines.","TSHE",I,"DEEL"
SA002,1,"GRAMINEAE","Elymus","glaucus","","glaucus","Buckl.","","Blue wildrye, Western Ryegrass","E. sibiricus var. g., E. nitidus, Clinelymus g. ssp. coloratus","Meadows, open woods, and dry to moist hillsides; lowland to midmontane.","TSHE to ABAM; TSME",F,"ELGL"
SA002,1,"GRAMINEAE","Festuca","arundinacea","","","Schreb.","","Tall or Alta or Reed Fescue","F. elatior var. a.","Introduced European species of meadows, fallow fields and ditch banks.","TSHE to ABAM",I,"FEAR3"
SA002,1,"GRAMINEAE","Festuca","bromoides","","","L.","","Barren or Six-weeks Fescue","F. dertonensis, F. sciuroides","Introduced European species of dry, open places.","TSHE",I,"FEBR"
SA002,1,"GRAMINEAE","Festuca","megalura","","","Nutt.","","Foxtail or Western Six-Weeks Fescue","","Open, dry, waste places.","TSHE",I,"FEME"
SA002,1,"GRAMINEAE","Festuca","occidentalis","","","Hook.","","Western Fescue","F. ovina var. polyphylla","Streambanks, lake margins, and moist woods in the mountains.","TSHE to ABAM",O,"FEOC"
SA002,1,"GRAMINEAE","Festuca","ovina","","rydbergii","L.","St. Yves","Sheep Fescue","","Occasional in mountain meadows below subalpine","ABAM",O,"FEOV"
SA002,1,"GRAMINEAE","Festuca","pratensis","","","Huds.","","Meadow or English Fescue","F. elatior, F. e. var. p., F. fluitans var. p.","Introduced European species of pastures and disturbed places.","TSHE",I,"FEPR"
SA002,1,"GRAMINEAE","Festuca","rubra","","rubra","L.","","Red Fescue","F. oregona, Poa tenuifolia var. o., F. ovina var. rubra, F. r. ssp. densiuscula, F. richardsoni, F. vallicola","Open, generally fairly moist woods and meadows; low to middle elevations.","TSHE to lower ABAM",O,"FERU"
SA002,1,"GRAMINEAE","Festuca","subulata","","","Trin.","","Bearded or Nodding Fescue","","Moist to dry woods, streambanks, and meadows; low to middle elevations.","TSHE to lower ABAM",O,"FESU"
SA002,1,"GRAMINEAE","Glyceria","elata","","","(Nash) Jones","","Tall Mannagrass","G. latifolia, G. nervata var. e.","Open, wet places; lowland to montane.","mid TSHE to ABAM",O,"GLEL"
SA002,1,"GRAMINEAE","Hierochloe","occidentalis","","","Buckley","","California Weetgrass or Vanillagrass","H. macrophylla","Moist to rather dry openings in the forest; lower elevations.","TSHE",O,"HIOC"
SA002,1,"GRAMINEAE","Holcus","lanatus","","","L.","","Commom Velvet-grass, Yorkshire-Fog","","Introduced European species of roadsides, and other waste places to open woods in the lower mountains.","TSHE to lower ABAM",I,"HOLA"
SA002,1,"GRAMINEAE","Koeleria","cristata","","","Pers.","","Prairie Junegrass, Koeler's Grass","K. c. var. nuttallii, K. c. var. major, K. nitida, K. n. var. munita, K. pseudocristata var. oregana, K. robinsoniana, K. r. var. australis","Mostly on sandy to rocky soil in meadows and open forests to subalpine ridges.","lower ABAM on up",O,"KOCR"
SA002,1,"GRAMINEAE","Lolium","perenne","","","L.","","Perennial or English Ryegrass","L. p. var. cristatum","Introduced European species of disturbed areas.","TSHE",I,"LOPE2"
SA002,1,"GRAMINEAE","Melica","aristata","","","Thurb.","","Bearded Melic","","Dry, montane woods.","usually ABAM",I,"MEAR"
SA002,1,"GRAMINEAE","Melica","harfordii","","","Boland.","","Harford's Melic","M. h. vars. tenuis and viridifolia","Dry, open areas; lower to middle elevations.","TSHE; TSME",O,"MEHA"
SA002,1,"GRAMINEAE","Melica","smithii","","","(Porter)","Vasey","Smith's Melic","M. retrofracta, Schizachne s.","Moist woods; lower to middle elevations.","generally TSHE",I,"MESM"
SA002,1,"GRAMINEAE","Melica","subulata","","subulata","(Griseb.) Scribn.","","Alaska Oniongrass","M. acuminata","Dry, open slopes to thick, dry or moist woods; lowland to midmontane.","to upper TSHE",O,"MESU"
SA002,1,"GRAMINEAE","Muhlenbergia","filiformis","","","(Thurb.) Rydb.","","Pullup or Slander Muhly","M. aristulata, M. idahoensis, Sporobolus aristatus, S. filiformis, S. depauperatus, var. f. S. simplex var. thermale","Generally near springs or seepage, or in moist meadows in the mountains to subalpine slopes.","generally ABAM; TSME",O,"MUFI"
SA002,1,"GRAMINEAE","Panicum","capillare","","","L.","","Common Witchgrass, Old-witch Grass","P. barbipulvinatum, P. b. var. hirsutipes, P. c. var. brevifolium, P. c. var. occidentale, P. elegantulum","A nature weedy species in moist areas, or along streams or around ponds.","TSHE",I,"PACA"
SA002,1,"GRAMINEAE","Pleuropogon","refractus","","","(Gray) Benth.","","Nodding Semaphoregrass","Lophochlaena r.","Bogs, streambanks, swampy meadows and moist, shaded woods; up to around 5000 ft. elevation.","TSHE to ABAM",I,"PLRE"
SA002,1,"GRAMINEAE","Poa","gracillima","","gracillima","Vasey","","Pacific or Slender Bluegrass","P. alcea, P. buckleyana var. stenophylla, P. invaginata, P. saxatilis, P. g. var. s.","Mostly alpine or subalpine, but occasionally venturing lower to open slopes.","mostly ABAM",I,"POGR4"
SA002,1,"GRAMINEAE","Poa","incurva","","","Scribn. & Will.","","Curly Bluegrass","","Generally on talus, rocky ridges, or open slopes in montane areas.","ABAM",O,"POIN3"
SA002,1,"GRAMINEAE","Poa","scabrella","","","(Thurb.) Benth.","","Pine or Malpais Bluegrass","P. canbyi, Atropis laevis, P. l., P. laevigata, P. nevadensis var. laevigata, P. acutiglumis, P. helleri, P. limosa, leckenbyi","Openings in montane forests and on ridges.","ABAM",O,"POSC"
SA002,1,"GRAMINEAE","Puccinellia","pauciflora","","microtheca","","(Buckl.) Hitche.","Weak Alkaligrass","Glyceria m.","Moist, open places; lower to high montane.","mainly ABAM",I,"PUPA"
SA002,1,"GRAMINEAE","Sitanion","hystrix","","hordeoides","(Nutt.) Smith","(Suksd.) Hitchc.","Bottlebrush Squirreltail","S. h.","Exposed sites becoming very dry in summer; middle to upper elevations.","ABAM",I,"SIHY"
SA002,1,"GRAMINEAE","Stipa","occidentalis","","minor","Thurb.","(Vasey) Hitchc.","Small Needlegrass","S. columbiana, S. m., S. viridula var. m., S. williamsii","Open meadows to subalpine forests and ridges.","mainly ABAM; TSHE",O,"STOC"
SA002,1,"GRAMINEAE","Stipa","occidentalis","","occidentalis","Thurb.","","Western Needlegrass","S. elmeri, s. oregonensis, S. viridula, var. pubescens","Meadows to subalpine forests and ridges.","ABAM",I,"STOC"
SA002,1,"GRAMINEAE","Trisetum","canescens","","","Buckl.","","Tall Trisetum","T. elatum T. cernuum var. c.","Moist to dry areas, generally in open woods; low to middle elevations.","TSHE to lower ABAM",O,"TRCA"
SA002,1,"GRAMINEAE","Trisetum","cernuum","","","Trin.","","Nodding Trisetum","Avena nutkaense, T. n. T. sandbergii","Moist woods to edges of streams and other bodies of water.","ABAM",O,"TRCE"
SA002,1,"GRAMINEAE","Trisetum","spicatum","","","(L.) Richter","","Spike Trisetum, Downy Oat-grass","T. congdoni, T. alaskanum","Often weedy on disturbed places, also in dry and rocky to moist areas of montane forests to subalpine slopes.","ABAM, TSME",I,"TRSP"
SA002,1,"GRAMINEAE","Triticum","aestivum","","","L.","","Cultivated Wheat","","Introduced species of disturbed places.","TSHE",I,"TRAE"
SA002,1,"GROSSULIARIACEAE","Ribes","binominatum","","","Hel.","","Siskiyou Gooseberry","","Moist slopes in the mountains.","lower ABAM on up",O,"RIBI"
SA002,1,"GROSSULIARIACEAE","Ribes","bracteosum","","","Dougl.","","Stink or Blue Currant","","Stream banks, moist woods, and margins of meadows.","TSHE to ABAM",O,"RIBR"
SA002,1,"GROSSULIARIACEAE","Ribes","lacustre","","","(Pers.) Poir.","","Swamp or Swamp Black Gooseberry, Prickly Currant","R. echinatum, R. parvulum","Moist woods and stream banks to forest slopes and subalpine ridges","TSHE to ABAM; TSME",F,"RILA"
SA002,1,"GROSSULIARIACEAE","Ribes","lobbii","","","Gray","","Gummy or Lobb's Gooseberry","","Lowland valleys and streamcourses to forested or open montane slopes.","TSHE",I,"RILO"
SA002,1,"GROSSULIARIACEAE","Ribes","sanguineum","","","Pursh.","","Red, Blood, or Red-flowering Currant","","Open to wooded, moist to dry valleys and lower mountains.","TSHE to lower ABAM",F,"RISA"
SA002,1,"GROSSULIARIACEAE","Ribes","viscosissimum","","hallii","Pursh.","Jancz.","Sticky Currant","R. hallii","Creek banks to moist or dry, open to heavily timbered slopes, up to timberline.","mid TSHE to ABAM; TSME",F,"RIVI"
SA002,1,"HYDERICACEAE","Hypericum","anagalloides","","","C. & S.","","Bog St. John's-wort","H. bryophytum, H. tapetoides","Moist ground, often in bogs; lowlands to montane.","ABAM, TSME",O,"HYAN"
SA002,1,"HYDERICACEAE","Hypericum","formosum","","scouleri","H.B.K.","(Hook.) Hitchc.","Western St. John's-wort","H. s.","Moist places; often on slopes; lowland to midmontane.","mainly lower ABAM",O,"HYFO"
SA002,1,"HYDERICACEAE","Hypericum","perforatum","","","L.","","Klamath Weed, Common St. John's-wort","","Introduced European weed of drier areas.","TSHE to lower ABAM",O,"HYPE"
SA002,1,"HYDRANGEACEAE","Whipplea","modesta","","","Torr.","","Yerba de Selva, Whipplevine","","Dry to fairly moist, often rocky, open to wooded areas.","TSHE",F,"WHMO"
SA002,1,"HYDROPHYLLACEAE","Hydrophyllum","occidentale","","occidentale","(Wats.) Gray","","California or Western Waterleaf","","Moist soil in woods or semi-open areas.","TSHE to lower ABAM",O,"HYOC"
SA002,1,"HYDROPHYLLACEAE","Hydrophyllum","tenuipes","","","Heller","","Pacific or Slender-Stem Waterleaf","H. viridulum","Moist woods at lower elevations.","to upper TSHE and lower ABAM",F,"HYTE"
SA002,1,"HYDROPHYLLACEAE","Nemophila","parviflora","","parviflora","Dougl.","","Small-Flowered Nemophila","","Generally on wooded slopes or other mainly shady places; lower elevations, often growing nearly prostrate.","to upper TSHE",O,"NEPA"
SA002,1,"HYDROPHYLLACEAE","Phacelia","hastata","","hastata","Dougl.","","Whiteleaf or Silverleaf Phacelia","","Dry, open places, often in sand.","TSHE",I,"PHHA"
SA002,1,"HYDROPHYLLACEAE","Phacelia","heterophylla","","heterophylla","Pursh","","Varileaf or Virgate Phacelia","P. magellanica var. h., P. virgata","Dry, open places in the foothills, and valleys.","to upper TSHE",O,"PHHE"
SA002,1,"IRIDACEAE","Iris","chrysophylla","","","Howell","","Slender-Tubed Iris","I. tenax spp. c.","Open woods, moist to fairly dry.","TSHE to mid ABAM",O,"IRCH"
SA002,1,"IRIDACEAE","Iris","tenax","","","Dougl.","","Oregon Iris","I. gormani, I. t. ssp. g.","Open banks, meadows, and open woods, generally where fairly dry.","TSHE",O,"IRTE"
SA002,1,"JUNCACEAE","Juncus","effusus","","gracilis","L.","Hook.","Soft or Common Rush","J. e. var. bruneus","Moist montane meadows and ridges; up to 4000 ft. elevation.","upper TSHE to ABAM",I,"JUEF"
SA002,1,"JUNCACEAE","Juncus","ensifolius","","montanus","Wikst.","(Engelm.) Hitchc.","Dagger-leaf Rush","J. brunnescens, J. saximontanus, J. s. var. robustior, J. xiphioides vars. macranthus and montanus","Moist, boggy soil in open areas.","upper TSHE to ABAM",O,"JUEN"
SA002,1,"JUNCACEAE","Juncus","mertensianus","","","Bong.","","Mertens' Rush","J. m. var. filifolius","Wet places, along streams and lakes; montane to alpine.","ABAM, TSME",O,"JUME"
SA002,1,"JUNCACEAE","Juncus","parryi","","","Engelm.","","Parry's Rush","J. drummondii var. p.","Open, wet places.","ABAM, TSME",I,"JUPA"
SA002,1,"JUNCACEAE","Luzula","campestris","","congesta","(L.) DC.","(Thuill.) E. Meyer","Field Woodrush, Sweep's Brush","J. c., L. comosa var. c., L. multiflora ssp. c., L. comosa var. subsessilis, L. s.","Moist places, shady woods to open meadows; lower elevations.","TSHE",F,"LUCA2"
SA002,1,"JUNCACEAE","Luzula","campestris","","multiflora","(L.) DC.","(Ehrh.) Celak.","Field Woodrush, Sweep's Brush","J. intermedius, L. i., J. m., L. m., L. i. var. m.","Moist places, shady woods to open meadows; low to upper elevation","TSHE to ABAM",F,"LUCA2"
SA002,1,"JUNCACEAE","Luzula","divaricata","","","Wats.","","Spreading Woodrush","L. parviflora ssp. d.","Dry to moist soil in wooded to open montane or subalpine slopes","ABAM",I,"LUDI"
SA002,1,"JUNCACEAE","Luzula","parviflora","","","(Ehrh.) Desv.","","Smallflowered Woodrush","Juncus p., J. melanocarpus, Juncoides piperi, L. fastigiata, L. p. var. f., L. melanocarpa","Moist to fairly dry areas, generally mostly open","TSHE to ABAM",F,"LUPA"
SA002,1,"LABIATAE","Prunella","vulgaris","","vulgaris","L.","","Self-Heal, All-Heal","","Introduced Eurasian variety of disturbed sites.","TSHE",O,"PRVU"
SA002,1,"LABIATAE","Stachys","cooleyae","","","Heller","","Cooley's Hedge-Nettle, Great Betony","S. ciliata, misapplied","moist or wet places, such as stream banks, or openings in the woods.","TSHE to lower ABAM",F,"STCO4"
SA002,1,"LABIATAE","Stachys","palustris","","pilosa","L.","(Nutt.) Fern.","Swamp Hedge-Nettle, March Betony","","Swamps and other open, wet places.","TSHE",O,"STPA2"
SA002,1,"LABIATAE","Stachys","rigida","","rigida","Nutt.","","Rigid Betony or Hedge-Nettle","","Low, moist places, open or shady.","low to upper TSHE and lower ABAM",O,"STRI"
SA002,1,"LEGUMINOSAE","Cytisus","scoparius","","","(L.) Link","","Scot's Broom or Scotch Broom","Spartium s.","Frequent escapee in open, dry areas.","TSHE",,"CYSC"
SA002,1,"LEGUMINOSAE","Lathyrus","holochlorus","","","(Piper) Hitchc.","","Thin-leaved Peavine","","Open, sunny places.","TSHE",I,"LAHO"
SA002,1,"LEGUMINOSAE","Lathyrus","nevadensis","lanceolatus Hitchc.","pilosellus","Wats.","(Peck) Hitchc.","Nuttall's Peavine","L. nuttallii, L. pedunculatus","Mostly in woodlands.","TSHE to lower ABAM",O,"LANE"
SA002,1,"LEGUMINOSAE","Lathyrus","nevadensis","nevadensis","","Wats.","","Sierran Peavine","","Mostly in woodlands.","upper TSHE to ABAM",O,"LANE"
SA002,1,"LEGUMINOSAE","Lathyrus","polyphyllus","","","Nutt.","","Leafy Peavine","","Woods and open places","TSHE",I,"LAPO"
SA002,1,"LEGUMINOSAE","Lotus","corniculatus","","","L.","","Birdsfoot-Trefoil","","European escapee in moist areas.","TSHE",I,"LOCO3"
SA002,1,"LEGUMINOSAE","Lotus","crassifolius","","crassifolius","(Benth.) Greene","","Big Deervetch","","Dry, open sites; lowland to montane.","mid TSHE to upper ABAM",O,"LOCR"
SA002,1,"LEGUMINOSAE","Lotus","micranthus","","","Benth.","","Small Flowered Deervetch","","Sandy flats to open slopes; up into the mountains.","TSHE",O,"LOMI"
SA002,1,"LEGUMINOSAE","Lotus","nevadensis","","douglasii","(Wats.) Greene","(Greene) Ottley","Nevada Deervetch","L. D.","Open site, sandy or rocky soil.","TSHE to lower ABAM",O,"LONE2"
SA002,1,"LEGUMINOSAE","Lotus","purshianus","","","(Benth.) Clements & Clements","","Spanish Clover","L. americanus, L. unifoliolatus, Hosackia elata, H. floribunda, H. mollis, H. pilosa","Sandy to rocky soil, open to wooded areas.","TSHE to lower ABAM",O,"LOPU"
SA002,1,"LEGUMINOSAE","Lupinus","latifolius","","latifolius","Agardh","","Broadleaf Lupine","L. ligulatus, L. viridifolius","Lowland meadow to open subalpine ridges.","TSHE to mid ABAM; TSME",F,"LULA"
SA002,1,"LEGUMINOSAE","Lupinus","laxiflorus","","laxiflorus","Dougl.","","Spurred Lupine","L. arbustus, L. silvicola","Dry, open hillsides","TSHE to mid ABAM",,"LULA2"
SA002,1,"LEGUMINOSAE","Melilotus","alba","","","Desr.","","White Sweet-Clover","","Eurasian weed of dry, gravelly road verges.","TSHE",I,"MEAL"
SA002,1,"LEGUMINOSAE","Trifolium","dubium","","","Sibth","","Least Hop Clover","","Open, dry sites. An introduced European species.","TSHE",I,"TRDU2"
SA002,1,"LEGUMINOSAE","Trifolium","pratense","","","L.","","Red Clover","","Introduced European species of roadsides and other disturbed areas","TSHE",O,"TRPR"
SA002,1,"LEGUMINOSAE","Trifolium","repens","","","L.","","White or Dutch Clover","","Introduced European species of waste aeas to mountain meadows.","TSHE to lower ABAM",O,"TRRE"
SA002,1,"LEGUMINOSAE","Trifolium","wormskjoldii","","","Lehm.","","Springbank Clover","T. fimbriatum, T. heterodon, T. spinulosum, T. willdenovii","Meadows and stream banks.","TSHE",I,"TRWO2"
SA002,1,"LEGUMINOSAE","Vicia","americana","","truncata","Muhl.","(Nutt.) Brew.","American Vetch","V. a. var. pallida, V. oregana","Grassy slopes and meadows in open woods.","mid TSHE to lower ABAM",O,"VIAM"
